ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
1055,こ,米袋(紙製),,古紙(雑誌・その他の紙）,裏面がビニールコーティングされているものは燃やすごみへ。ビニールコーティングは、手で切るとビニール部分が破れずに残ります。
1056,こ,駒(将棋・チェス等),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。陶器・ガラス製のものは燃えないごみへ。金属製のものは小さな金属類へ
1057,こ,黒板消し,,燃やすごみ,
1058,こ,独楽(こま),,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
1059,こ,ゴミ袋,,プラスチック資源,
1060,こ,コンバイン袋,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
1061,こ,ゴキブリ駆除剤(粘着シート製),,燃やすごみ,
1062,こ,ごみネット,,燃やすごみ,畳んで50㎝以上のものは粗大ごみへ。広げて50cm未満でプラスチックのみのものはプラスチック資源へ
1063,こ,ゴムシート,,燃やすごみ,
1064,こ,ゴルフティー,,プラスチック資源,木製のものは燃やすごみへ
1066,こ,耕運機(家庭用の小型のもの),,粗大ごみ,
1067,こ,コイル,,小さな金属類,
1068,こ,ゴムベラ,,燃やすごみ,
1069,こ,コイントレイ(金属製),,小さな金属類,
1070,こ,コイントレイ(プラスチック製),,プラスチック資源,プラスチックのみでできたのものはプラスチック資源へ。その他は燃やすごみへ
1071,こ,ゴーカート,,粗大ごみ,
1072,こ,ゴム栓,,燃やすごみ,
1073,こ,ゴルフネット・ピッチングネット,,粗大ごみ,ネット部分だけを出す場合は、燃やすごみへ
1074,こ,小型血糖測定器専用電極,,燃やすごみ,
1075,こ,コンデンサ,,小さな金属類,
1076,こ,こたつ、テーブル、椅子の足,,燃やすごみ,50cm以上のものは粗大ごみへ。金属製で30㎝以上のものは粗大ごみへ、金属製で30cm未満のものは小さな金属類へ
1077,こ,コンクリートパネル,,粗大ごみ,
